Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Civil Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ODISHA",36.0,0.0,36.0,36,0,36,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",23.0,0.0,23.0,22,0,22,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43.0,0.0,43.0,40,0,40,-3.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",55.0,0.0,55.0,55,0,55,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",46.0,13.0,59.0,47,13,60,1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",58.0,3.0,61.0,58,3,61,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",40.0,0.0,40.0,117,0,117,77.0
"Civil Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",22.0,0.0,22.0,23,0,23,1.0
"Civil Engineering (4 Years, Bachelor of Technology) PUNJAB",42.0,0.0,42.0,40,0,40,-2.0
"Civil Engineering (4 Years, Bachelor of Technology) RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
"Civil Engineering (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TELANGANA",55.0,0.0,55.0,55,0,55,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TRIPURA",46.0,13.0,59.0,47,13,60,1.0
"Civil Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",57.0,3.0,60.0,57,3,60,0.0
"Civil Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) WEST BENGAL",40.0,0.0,40.0,118,0,118,78.0
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",76.0,14.0,90.0,76,14,90,0.0
"Computational Engineering (4 Years, Bachelor of Technology)",22.0,3.0,25.0,27,3,30,5.0
"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,13,0,13,0.0
"Computational and Data Science (4 Years, Bachelor of Technology) KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"Computational and Data Science (4 Years, Bachelor of Technology) Other than KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology)",1781.0,236.0,2017.0,7102,649,7751,5734.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) ASSAM",81.0,0.0,81.0,80,0,80,-1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) BIHAR",100.0,0.0,100.0,75,0,75,-25.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",60.0,0.0,60.0,60,0,60,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) HARYANA",54.0,0.0,54.0,54,0,54,0.0
